,room,floor,floor_counts,square,price,metro_foot_minute,zone,district,metro
0,2,22,34,50.6,59236384,14,ЗАО,Дорогомилово,Кутузовская
1,3,7,10,190.0,139000000,5,ЦАО,Басманный,Бауманская
2,2,2,14,85.6,156750000,2,ЦАО,Якиманка,Боровицкая
3,3,3,15,104.0,65200000,7,САО,Аэропорт,Динамо
4,2,4,13,86.28,101797752,8,ЦАО,Мещанский,Цветной бульвар
5,2,7,12,78.0,102999000,6,ЦАО,Хамовники,Фрунзенская
6,2,8,9,64.5,89010000,1,ЦАО,Тверской,Маяковская
7,3,5,21,116.8,120000000,7,ЦАО,Пресненский,Улица 1905 года
8,2,3,27,58.0,30272464,18,ЮАО,Даниловский,Серпуховская
9,3,5,21,116.78,120000000,7,ЦАО,Пресненский,Улица 1905 года
10,2,37,54,55.42,25667019,6,САО,Савеловский,Дмитровская
11,2,3,21,51.0,52000000,9,ЦАО,Пресненский,Улица 1905 года
12,,,,,103787040,9,ЦАО,Пресненский,Улица 1905 года
13,2,6,6,130.0,58000000,6,САО,Беговой,Белорусская
14,2,2,5,88.5,198460000,3,ЦАО,Тверской,Площадь Революции
15,3,2,4,140.0,227576030,4,ЦАО,Мещанский,Трубная
16,2,10,27,38.7,18707580,20,ЮАО,Даниловский,Серпуховская
17,3,3,15,99.9,160000000,8,ЦАО,Хамовники,Спортивная
18,2,8,8,121.2,159473684,9,ЦАО,Арбат,Смоленская
19,2,7,14,95.0,166990000,6,ЦАО,Хамовники,Спортивная
20,2,4,17,49.8,52006000,12,ЦАО,Хамовники,Воробьёвы горы
21,3,2,6,110.5,99000000,10,ЦАО,Пресненский,Пушкинская
22,,,,,180000000,10,ЦАО,Якиманка,Новокузнецкая
23,3,6,15,100.0,50000000,13,ЦАО,Пресненский,Шелепиха
24,2,3,26,64.4,26821984,3,ЗАО,Филевский парк,Народное Ополчение
25,2,10,21,54.0,61800000,7,ЦАО,Пресненский,Улица 1905 года
26,2,2,11,47.0,24524600,24,ЗАО,,Павшино
27,3,3,16,183.9,275471699,6,ЦАО,Арбат,Смоленская
28,2,23,42,41.6,25708800,20,ЮЗАО,Котловка,Нагорная
29,2,7,9,108.3,194940000,2,ЦАО,Тверской,Маяковская
30,2,2,14,41.49,36635670,8,ЗАО,Дорогомилово,Киевская
31,2,12,12,77.4,34868700,9,ЦАО,Таганский,Площадь Ильича
32,2,2,7,112.8,106945102,11,ЦАО,Якиманка,Новокузнецкая
33,2,6,6,122.3,68000000,7,САО,Беговой,Белорусская
34,2,2,12,85.94,37315148,24,ЗАО,,Павшино
35,3,5,6,200.8,168208370,5,ЦАО,Тверской,Трубная
36,2,4,13,81.26,34080444,11,ЗАО,,Опалиха
37,2,38,52,63.0,36000000,2,ЦАО,Пресненский,Шелепиха
38,2,2,14,76.3,74540000,11,ЦАО,Пресненский,Белорусская
39,3,5,9,117.0,65500000,7,ЦАО,Тверской,Цветной бульвар
40,2,3,5,178.6,150400000,6,ЦАО,Арбат,Смоленская
41,3,8,15,138.57,159355000,8,ЦАО,Хамовники,Спортивная
42,2,33,41,75.2,38352000,6,ЗАО,Филевский парк,Фили
43,3,8,15,138.57,159355500,8,ЦАО,Хамовники,Спортивная
44,2,2,23,56.0,51860000,12,ЦАО,Пресненский,Улица 1905 года
45,3,8,15,119.5,155350000,8,ЦАО,Хамовники,Спортивная
46,2,3,54,59.94,29501209,14,СЗАО,Хорошево,Полежаевская
47,3,4,6,170.0,190000000,10,ЦАО,Хамовники,Спортивная
48,2,59,85,80.6,68681338,1,ЦАО,Пресненский,Москва
49,2,3,6,127.4,189000000,5,ЦАО,Хамовники,Парк Культуры
